"","INCIDENT_DATE","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENSE_CODE","OFFENSE_DESCRIPTION","LOCATION_ADDRESS","CITY","STATE","ZIP","LATITUDE","LONGITUDE","Location.1","ymd","month","year","wday","hour"
"22","06-02-2018 03:38:00 PM","2018-066829","64","23F","THEFT FROM MOTOR VEHICLE","2024 ROMINE RD","LITTLE ROCK","AR",72205,34.734526,-92.381805,"2024 ROMINE RD
LITTLE ROCK, AR 72205
(34.734526, -92.381805)","2018-06-02","Jun",2018,"Sat",15
"23","05-24-2018 04:00:00 PM","2018-062451","64","23D","THEFT FROM BUILDING","10923 W MARKHAM ST","LITTLE ROCK","AR",72211,34.753891,-92.395527,"10923 W MARKHAM ST
LITTLE ROCK, AR 72211
(34.753891, -92.395527)","2018-05-24","May",2018,"Thu",16
"41","07-04-2018 06:55:00 PM","2018-082575","71","23C","SHOPLIFTING","12600 CHENAL PKWY","LITTLE ROCK","AR",72211,34.753165,-92.413434,"12600 CHENAL PKWY
LITTLE ROCK, AR 72211
(34.753165, -92.413434)","2018-07-04","Jul",2018,"Wed",18
"42","07-11-2018 03:55:00 AM","2018-085813","72","23F","THEFT FROM MOTOR VEHICLE","4 KERIEN LN","LITTLE ROCK","AR",72223,34.780449,-92.461341,"4 KERIEN LN
LITTLE ROCK, AR 72223
(34.780449, -92.461341)","2018-07-11","Jul",2018,"Wed",3
"43","07-02-2018 08:00:00 AM","2018-082905","81","240","MOTOR VEHICLE THEFT","5201 HALIFAX DR","LITTLE ROCK","AR",72209,34.683533,-92.334496,"5201 HALIFAX DR
LITTLE ROCK, AR 72209
(34.683533, -92.334496)","2018-07-02","Jul",2018,"Mon",8
"44","06-28-2018 07:55:00 PM","2018-084917","71","23C","SHOPLIFTING","12610 CHENAL PKWY","LITTLE ROCK","AR",72211,34.753243,-92.413495,"12610 CHENAL PKWY
LITTLE ROCK, AR 72211
(34.753243, -92.413495)","2018-06-28","Jun",2018,"Thu",19
"45","07-10-2018 12:00:00 AM","2018-085255","53","23F","THEFT FROM MOTOR VEHICLE","205 S PINE ST","LITTLE ROCK","AR",72205,34.749833,-92.316417,"205 S PINE ST
LITTLE ROCK, AR 72205
(34.749833, -92.316417)","2018-07-10","Jul",2018,"Tue",0
"69","06-11-2018 11:00:00 PM","2018-071356","72","23H","ALL OTHER LARCENY","","","",NA,NA,NA,"","2018-06-11","Jun",2018,"Mon",23
"70","06-16-2018 08:00:00 PM","2018-073375","71","220","BURGLARY/B&E","135 BLACKBURN DR","LITTLE ROCK","AR",72211,34.76708,-92.444976,"135 BLACKBURN DR
LITTLE ROCK, AR 72211
(34.76708, -92.444976)","2018-06-16","Jun",2018,"Sat",20
"87","07-12-2018 10:20:00 AM","2018-086275","52","13A","AGGRAVATED ASSAULT","1832 DENNISON ST","LITTLE ROCK","AR",72202,34.73261,-92.299376,"1832 DENNISON ST
LITTLE ROCK, AR 72202
(34.73261, -92.299376)","2018-07-12","Jul",2018,"Thu",10
"88","07-14-2018 12:46:00 PM","2018-087309","64","23F","THEFT FROM MOTOR VEHICLE","4023 S SHACKLEFORD RD","LITTLE ROCK","AR",72204,34.717042,-92.393131,"4023 S SHACKLEFORD RD
LITTLE ROCK, AR 72204
(34.717042, -92.393131)","2018-07-14","Jul",2018,"Sat",12
"89","07-14-2018 12:04:00 AM","2018-087084","93","23F","THEFT FROM MOTOR VEHICLE","11014 DOGWOOD CV","LITTLE ROCK","AR",72210,34.660049,-92.435265,"11014 DOGWOOD CV
LITTLE ROCK, AR 72210
(34.660049, -92.435265)","2018-07-14","Jul",2018,"Sat",0
"111","07-06-2018 12:14:00 PM","2018-083595","64","23B","PURSE-SNATCHING","11800 CHENAL PKWY","LITTLE ROCK","AR",72211,34.748836,-92.40521,"11800 CHENAL PKWY
LITTLE ROCK, AR 72211
(34.748836, -92.40521)","2018-07-06","Jul",2018,"Fri",12
"112","07-11-2018 02:00:00 AM","2018-085763","72","220","BURGLARY/B&E","3 ALDRIDGE CT","LITTLE ROCK","AR",72223,34.78584,-92.455389,"3 ALDRIDGE CT
LITTLE ROCK, AR 72223
(34.78584, -92.455389)","2018-07-11","Jul",2018,"Wed",2
"129","07-14-2018 05:30:00 PM","2018-087755","60","23H","ALL OTHER LARCENY","6505 CANTRELL RD","LITTLE ROCK","AR",72207,34.768487,-92.346446,"6505 CANTRELL RD
LITTLE ROCK, AR 72207
(34.768487, -92.346446)","2018-07-14","Jul",2018,"Sat",17
