"","INCIDENT_DATE","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENSE_CODE","OFFENSE_DESCRIPTION","LOCATION_ADDRESS","CITY","STATE","ZIP","LATITUDE","LONGITUDE","Location.1","ymd","month","year","wday","hour"
"6802","06-02-2017 09:45:00 AM","2017-065537","63","220","BURGLARY/B&E","3022 MILLBROOK RD","LITTLE ROCK","AR",72227,34.780792,-92.382912,"3022 MILLBROOK RD
LITTLE ROCK, AR 72227
(34.780792, -92.382912)","2017-06-02","Jun",2017,"Fri",9
"6803","05-31-2017 06:00:00 PM","2017-065547","63","23H","ALL OTHER LARCENY","719 BROOKSIDE DR","LITTLE ROCK","AR",72227,34.758803,-92.373172,"719 BROOKSIDE DR
LITTLE ROCK, AR 72227
(34.758803, -92.373172)","2017-05-31","May",2017,"Wed",18
"6804","06-02-2017 02:42:00 PM","2017-065548","61","23A","POCKET-PICKING","8415 W MARKHAM ST","LITTLE ROCK","AR",72205,34.753144,-92.367465,"8415 W MARKHAM ST
LITTLE ROCK, AR 72205
(34.753144, -92.367465)","2017-06-02","Jun",2017,"Fri",14
"6805","06-01-2017 06:00:00 PM","2017-065565","63","220","BURGLARY/B&E","1900 RESERVOIR RD","LITTLE ROCK","AR",72227,34.769794,-92.375908,"1900 RESERVOIR RD
LITTLE ROCK, AR 72227
(34.769794, -92.375908)","2017-06-01","Jun",2017,"Thu",18
"6806","05-18-2017 10:00:00 AM","2017-065577","81","240","MOTOR VEHICLE THEFT","6523 S UNIVERSITY AVE","LITTLE ROCK","AR",72209,34.690118,-92.347251,"6523 S UNIVERSITY AVE
LITTLE ROCK, AR 72209
(34.690118, -92.347251)","2017-05-18","May",2017,"Thu",10
"6807","06-02-2017 05:00:00 PM","2017-065583","80","23H","ALL OTHER LARCENY","6425 S UNIVERSITY AVE","LITTLE ROCK","AR",72209,34.691605,-92.346786,"6425 S UNIVERSITY AVE
LITTLE ROCK, AR 72209
(34.691605, -92.346786)","2017-06-02","Jun",2017,"Fri",17
"6808","06-02-2017 05:34:00 PM","2017-065607","54","23D","THEFT FROM BUILDING","4401 W 12TH ST","LITTLE ROCK","AR",72204,34.740715,-92.322456,"4401 W 12TH ST
LITTLE ROCK, AR 72204
(34.740715, -92.322456)","2017-06-02","Jun",2017,"Fri",17
"6809","06-02-2017 05:54:00 PM","2017-065626","70","23D","THEFT FROM BUILDING","4610 SAM PECK RD","LITTLE ROCK","AR",72223,34.793755,-92.414413,"4610 SAM PECK RD
LITTLE ROCK, AR 72223
(34.793755, -92.414413)","2017-06-02","Jun",2017,"Fri",17
"6810","06-02-2017 06:24:00 PM","2017-065630","54","23H","ALL OTHER LARCENY","2915 BOULEVARD AVE","LITTLE ROCK","AR",72204,34.725022,-92.329796,"2915 BOULEVARD AVE
LITTLE ROCK, AR 72204
(34.725022, -92.329796)","2017-06-02","Jun",2017,"Fri",18
"6812","06-02-2017 06:15:00 PM","2017-065643","50","23F","THEFT FROM MOTOR VEHICLE","2500 CANTRELL RD","LITTLE ROCK","AR",72202,34.75816,-92.303276,"2500 CANTRELL RD
LITTLE ROCK, AR 72202
(34.75816, -92.303276)","2017-06-02","Jun",2017,"Fri",18
"6813","06-02-2017 07:00:00 PM","2017-065658","82","240","MOTOR VEHICLE THEFT","8801 BASELINE RD","LITTLE ROCK","AR",72209,34.670094,-92.376278,"8801 BASELINE RD
LITTLE ROCK, AR 72209
(34.670094, -92.376278)","2017-06-02","Jun",2017,"Fri",19
"6814","06-02-2017 05:45:00 PM","2017-065666","60","23F","THEFT FROM MOTOR VEHICLE","7600 REBSAMEN PARK RD","LITTLE ROCK","AR",72207,34.789217,-92.355857,"7600 REBSAMEN PARK RD
LITTLE ROCK, AR 72207
(34.789217, -92.355857)","2017-06-02","Jun",2017,"Fri",17
"6815","06-01-2017 06:00:00 PM","2017-065668","53","23D","THEFT FROM BUILDING","1425 S ELM ST","LITTLE ROCK","AR",72204,34.737944,-92.3191,"1425 S ELM ST
LITTLE ROCK, AR 72204
(34.737944, -92.3191)","2017-06-01","Jun",2017,"Thu",18
"6816","05-29-2017 11:00:00 AM","2017-065669","91","23G","THEFT OF MOTOR VEHICLE PARTS","11 MABELVALE PLAZA LN","LITTLE ROCK","AR",72209,34.666646,-92.383429,"11 MABELVALE PLAZA LN
LITTLE ROCK, AR 72209
(34.666646, -92.383429)","2017-05-29","May",2017,"Mon",11
"6817","06-02-2017 06:49:00 PM","2017-065673","64","220","BURGLARY/B&E","8809 CLOVERHILL RD","LITTLE ROCK","AR",72205,34.749244,-92.372651,"8809 CLOVERHILL RD
LITTLE ROCK, AR 72205
(34.749244, -92.372651)","2017-06-02","Jun",2017,"Fri",18
"6818","06-02-2017 07:50:00 PM","2017-065690","82","23F","THEFT FROM MOTOR VEHICLE","6824 REDWOOD DR","LITTLE ROCK","AR",72209,34.663687,-92.35396,"6824 REDWOOD DR
LITTLE ROCK, AR 72209
(34.663687, -92.35396)","2017-06-02","Jun",2017,"Fri",19
"6819","06-01-2017 10:00:00 PM","2017-065693","82","23G","THEFT OF MOTOR VEHICLE PARTS","9215 OAKGROVE LN","LITTLE ROCK","AR",72209,34.66655,-92.357788,"9215 OAKGROVE LN
LITTLE ROCK, AR 72209
(34.66655, -92.357788)","2017-06-01","Jun",2017,"Thu",22
"6820","06-02-2017 10:18:00 PM","2017-065729","54","23D","THEFT FROM BUILDING","925 FAIR PARK BLVD","LITTLE ROCK","AR",72204,34.742992,-92.334381,"925 FAIR PARK BLVD
LITTLE ROCK, AR 72204
(34.742992, -92.334381)","2017-06-02","Jun",2017,"Fri",22
"6821","06-02-2017 10:55:00 PM","2017-065738","50","23F","THEFT FROM MOTOR VEHICLE","707 N SPRUCE ST","LITTLE ROCK","AR",72205,34.757778,-92.326541,"707 N SPRUCE ST
LITTLE ROCK, AR 72205
(34.757778, -92.326541)","2017-06-02","Jun",2017,"Fri",22
"6822","06-02-2017 11:40:00 AM","2017-065757","40","120","ROBBERY","100 E 13TH ST","LITTLE ROCK","AR",72202,34.736331,-92.272638,"100 E 13TH ST
LITTLE ROCK, AR 72202
(34.736331, -92.272638)","2017-06-02","Jun",2017,"Fri",11
"6823","05-31-2017 07:00:00 AM","2017-065781","71","220","BURGLARY/B&E","420 NAPA VALLEY DR","LITTLE ROCK","AR",72211,34.758989,-92.411372,"420 NAPA VALLEY DR
LITTLE ROCK, AR 72211
(34.758989, -92.411372)","2017-05-31","May",2017,"Wed",7
"6824","06-02-2017 05:30:00 PM","2017-065782","40","23F","THEFT FROM MOTOR VEHICLE","300 E 4TH ST","LITTLE ROCK","AR",72202,34.744853,-92.268493,"300 E 4TH ST
LITTLE ROCK, AR 72202
(34.744853, -92.268493)","2017-06-02","Jun",2017,"Fri",17
"6825","06-03-2017 12:39:00 AM","2017-065784","82","23F","THEFT FROM MOTOR VEHICLE","5912 SOUTHWICK DR","LITTLE ROCK","AR",72209,34.665771,-92.344246,"5912 SOUTHWICK DR
LITTLE ROCK, AR 72209
(34.665771, -92.344246)","2017-06-03","Jun",2017,"Sat",0
"6826","06-03-2017 01:45:00 AM","2017-065825","64","23D","THEFT FROM BUILDING","201 S SHACKLEFORD RD","LITTLE ROCK","AR",72211,34.752637,-92.393927,"201 S SHACKLEFORD RD
LITTLE ROCK, AR 72211
(34.752637, -92.393927)","2017-06-03","Jun",2017,"Sat",1
"6827","06-03-2017 03:30:00 PM","2017-065856","81","220","BURGLARY/B&E","7900 SCOTT HAMILTON DR","LITTLE ROCK","AR",72209,34.67733,-92.319543,"7900 SCOTT HAMILTON DR
LITTLE ROCK, AR 72209
(34.67733, -92.319543)","2017-06-03","Jun",2017,"Sat",15
"6828","06-02-2017 06:18:00 AM","2017-065897","93","23G","THEFT OF MOTOR VEHICLE PARTS","29 AUGUSTA CT","LITTLE ROCK","AR",72210,34.677174,-92.422053,"29 AUGUSTA CT
LITTLE ROCK, AR 72210
(34.677174, -92.422053)","2017-06-02","Jun",2017,"Fri",6
"6829","06-02-2017 07:00:00 PM","2017-065915","93","240","MOTOR VEHICLE THEFT","2 MERION LN","LITTLE ROCK","AR",72210,34.678081,-92.422499,"2 MERION LN
LITTLE ROCK, AR 72210
(34.678081, -92.422499)","2017-06-02","Jun",2017,"Fri",19
"6830","06-03-2017 02:30:00 AM","2017-065928","54","23F","THEFT FROM MOTOR VEHICLE","2611 S TYLER ST","LITTLE ROCK","AR",72204,34.727203,-92.333969,"2611 S TYLER ST
LITTLE ROCK, AR 72204
(34.727203, -92.333969)","2017-06-03","Jun",2017,"Sat",2
"6831","06-02-2017 05:00:00 PM","2017-065932","40","23F","THEFT FROM MOTOR VEHICLE","617 BROADWAY ST","LITTLE ROCK","AR",72201,34.743108,-92.276212,"617 BROADWAY ST
LITTLE ROCK, AR 72201
(34.743108, -92.276212)","2017-06-02","Jun",2017,"Fri",17
"6832","06-02-2017 10:00:00 PM","2017-065944","54","23F","THEFT FROM MOTOR VEHICLE","4820 W 31ST ST","LITTLE ROCK","AR",72204,34.723754,-92.328745,"4820 W 31ST ST
LITTLE ROCK, AR 72204
(34.723754, -92.328745)","2017-06-02","Jun",2017,"Fri",22
"6833","06-03-2017 10:15:00 AM","2017-065957","90","120","ROBBERY","6325 STAGECOACH RD","LITTLE ROCK","AR",72204,34.691029,-92.392853,"6325 STAGECOACH RD
LITTLE ROCK, AR 72204
(34.691029, -92.392853)","2017-06-03","Jun",2017,"Sat",10
"6836","06-03-2017 10:33:00 AM","2017-065961","52","220","BURGLARY/B&E","2105 W 16TH ST","LITTLE ROCK","AR",72202,34.735739,-92.296846,"2105 W 16TH ST
LITTLE ROCK, AR 72202
(34.735739, -92.296846)","2017-06-03","Jun",2017,"Sat",10
"6837","05-30-2017 12:30:00 PM","2017-065966","90","23H","ALL OTHER LARCENY","10825 COLONEL GLENN RD","LITTLE ROCK","AR",72204,34.712615,-92.396141,"10825 COLONEL GLENN RD
LITTLE ROCK, AR 72204
(34.712615, -92.396141)","2017-05-30","May",2017,"Tue",12
"6838","06-02-2017 09:00:00 PM","2017-065968","53","23H","ALL OTHER LARCENY","220 BROWN ST","LITTLE ROCK","AR",72205,34.749279,-92.30982,"220 BROWN ST
LITTLE ROCK, AR 72205
(34.749279, -92.30982)","2017-06-02","Jun",2017,"Fri",21
"6839","06-03-2017 11:20:00 AM","2017-065979","81","23D","THEFT FROM BUILDING","5300 BASELINE RD","LITTLE ROCK","AR",72209,34.668816,-92.336563,"5300 BASELINE RD
LITTLE ROCK, AR 72209
(34.668816, -92.336563)","2017-06-03","Jun",2017,"Sat",11
"6840","06-03-2017 11:20:00 AM","2017-065979","81","13A","AGGRAVATED ASSAULT","5300 BASELINE RD","LITTLE ROCK","AR",72209,34.668816,-92.336563,"5300 BASELINE RD
LITTLE ROCK, AR 72209
(34.668816, -92.336563)","2017-06-03","Jun",2017,"Sat",11
"6841","06-03-2017 01:40:00 AM","2017-065980","82","240","MOTOR VEHICLE THEFT","5216 STANLEY DR","LITTLE ROCK","AR",72209,34.665562,-92.33701,"5216 STANLEY DR
LITTLE ROCK, AR 72209
(34.665562, -92.33701)","2017-06-03","Jun",2017,"Sat",1
"6842","05-30-2017 03:30:00 PM","2017-065999","41","23D","THEFT FROM BUILDING","522 E 23RD ST","LITTLE ROCK","AR",72206,34.726433,-92.267494,"522 E 23RD ST
LITTLE ROCK, AR 72206
(34.726433, -92.267494)","2017-05-30","May",2017,"Tue",15
"6843","06-03-2017 12:34:00 PM","2017-066008","80","120","ROBBERY","4111 S UNIVERSITY AVE","LITTLE ROCK","AR",72204,34.714519,-92.342675,"4111 S UNIVERSITY AVE
LITTLE ROCK, AR 72204
(34.714519, -92.342675)","2017-06-03","Jun",2017,"Sat",12
"6844","06-03-2017 12:43:00 PM","2017-066012","43","220","BURGLARY/B&E","2600 DOVER ST","LITTLE ROCK","AR",72206,34.703434,-92.248829,"2600 DOVER ST
LITTLE ROCK, AR 72206
(34.703434, -92.248829)","2017-06-03","Jun",2017,"Sat",12
"6845","06-03-2017 12:55:00 PM","2017-066017","90","240","MOTOR VEHICLE THEFT","9911 INTERSTATE 30","LITTLE ROCK","AR",72209,34.673161,-92.372574,"9911 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.673161, -92.372574)","2017-06-03","Jun",2017,"Sat",12
"6846","06-03-2017 12:30:00 PM","2017-066050","52","23F","THEFT FROM MOTOR VEHICLE","2101 S CROSS ST","LITTLE ROCK","AR",72206,34.728941,-92.287087,"2101 S CROSS ST
LITTLE ROCK, AR 72206
(34.728941, -92.287087)","2017-06-03","Jun",2017,"Sat",12
"6847","06-02-2017 10:15:00 PM","2017-066059","62","220","BURGLARY/B&E","8510 COLONEL GLENN RD","LITTLE ROCK","AR",72204,34.71057,-92.370482,"8510 COLONEL GLENN RD
LITTLE ROCK, AR 72204
(34.71057, -92.370482)","2017-06-02","Jun",2017,"Fri",22
"6848","06-03-2017 01:47:00 PM","2017-066061","52","23D","THEFT FROM BUILDING","1205 W 28TH ST","LITTLE ROCK","AR",72206,34.721801,-92.287695,"1205 W 28TH ST
LITTLE ROCK, AR 72206
(34.721801, -92.287695)","2017-06-03","Jun",2017,"Sat",13
"6849","06-03-2017 03:20:00 PM","2017-066072","70","220","BURGLARY/B&E","1601 N SHACKLEFORD RD","LITTLE ROCK","AR",72211,34.767624,-92.395836,"1601 N SHACKLEFORD RD
LITTLE ROCK, AR 72211
(34.767624, -92.395836)","2017-06-03","Jun",2017,"Sat",15
"6850","06-03-2017 04:00:00 PM","2017-066103","61","120","ROBBERY","2716 LONGCOY ST","LITTLE ROCK","AR",72204,34.728178,-92.371681,"2716 LONGCOY ST
LITTLE ROCK, AR 72204
(34.728178, -92.371681)","2017-06-03","Jun",2017,"Sat",16
"6851","06-04-2017 03:00:00 PM","2017-066116","82","220","BURGLARY/B&E","5517 VALLEY DR","LITTLE ROCK","AR",72209,34.661187,-92.340343,"5517 VALLEY DR
LITTLE ROCK, AR 72209
(34.661187, -92.340343)","2017-06-04","Jun",2017,"Sun",15
"6852","06-03-2017 05:14:00 PM","2017-066122","81","23C","SHOPLIFTING","8717 GEYER SPRINGS RD","LITTLE ROCK","AR",72209,34.67039,-92.344271,"8717 GEYER SPRINGS RD
LITTLE ROCK, AR 72209
(34.67039, -92.344271)","2017-06-03","Jun",2017,"Sat",17
"6853","06-03-2017 05:10:00 PM","2017-066130","80","13A","AGGRAVATED ASSAULT","5517 W 51ST ST","LITTLE ROCK","AR",72205,34.703316,-92.337749,"5517 W 51ST ST
LITTLE ROCK, AR 72205
(34.703316, -92.337749)","2017-06-03","Jun",2017,"Sat",17
"6854","06-03-2017 05:19:00 PM","2017-066134","71","23C","SHOPLIFTING","12700 CHENAL PKWY","LITTLE ROCK","AR",72211,34.754475,-92.415771,"12700 CHENAL PKWY
LITTLE ROCK, AR 72211
(34.754475, -92.415771)","2017-06-03","Jun",2017,"Sat",17
"6855","06-03-2017 06:17:00 PM","2017-066148","64","220","BURGLARY/B&E","3400 S BOWMAN RD","LITTLE ROCK","AR",72211,34.722868,-92.407304,"3400 S BOWMAN RD
LITTLE ROCK, AR 72211
(34.722868, -92.407304)","2017-06-03","Jun",2017,"Sat",18
"6856","06-03-2017 07:04:00 PM","2017-066175","91","13A","AGGRAVATED ASSAULT","7609 BURNELLE DR","LITTLE ROCK","AR",72209,34.661032,-92.363323,"7609 BURNELLE DR
LITTLE ROCK, AR 72209
(34.661032, -92.363323)","2017-06-03","Jun",2017,"Sat",19
"6857","06-03-2017 07:50:00 PM","2017-066196","82","13A","AGGRAVATED ASSAULT","9101 AUXOR RD","LITTLE ROCK","AR",72209,34.66688,-92.315404,"9101 AUXOR RD
LITTLE ROCK, AR 72209
(34.66688, -92.315404)","2017-06-03","Jun",2017,"Sat",19
"6858","06-03-2017 08:08:00 PM","2017-066199","60","23C","SHOPLIFTING","6000 W MARKHAM ST","LITTLE ROCK","AR",72205,34.752312,-92.342339,"6000 W MARKHAM ST
LITTLE ROCK, AR 72205
(34.752312, -92.342339)","2017-06-03","Jun",2017,"Sat",20
"6859","06-03-2017 08:31:00 PM","2017-066202","52","220","BURGLARY/B&E","2412 BROADWAY ST","LITTLE ROCK","AR",72206,34.725043,-92.27882,"2412 BROADWAY ST
LITTLE ROCK, AR 72206
(34.725043, -92.27882)","2017-06-03","Jun",2017,"Sat",20
"6860","06-03-2017 08:55:00 PM","2017-066207","82","120","ROBBERY","3515 BASELINE RD","LITTLE ROCK","AR",72209,34.667898,-92.317292,"3515 BASELINE RD
LITTLE ROCK, AR 72209
(34.667898, -92.317292)","2017-06-03","Jun",2017,"Sat",20
"6861","06-03-2017 09:25:00 PM","2017-066216","91","220","BURGLARY/B&E","8004 WOODHAVEN DR","LITTLE ROCK","AR",72209,34.661995,-92.36756,"8004 WOODHAVEN DR
LITTLE ROCK, AR 72209
(34.661995, -92.36756)","2017-06-03","Jun",2017,"Sat",21
"6862","06-02-2017 09:00:00 AM","2017-066220","71","240","MOTOR VEHICLE THEFT","500 S BOWMAN RD","LITTLE ROCK","AR",72211,34.750526,-92.407078,"500 S BOWMAN RD
LITTLE ROCK, AR 72211
(34.750526, -92.407078)","2017-06-02","Jun",2017,"Fri",9
"6863","06-03-2017 11:29:00 PM","2017-066273","50","220","BURGLARY/B&E","2400 CANTRELL RD","LITTLE ROCK","AR",72202,34.757576,-92.301079,"2400 CANTRELL RD
LITTLE ROCK, AR 72202
(34.757576, -92.301079)","2017-06-03","Jun",2017,"Sat",23
"6864","06-03-2017 11:25:00 PM","2017-066276","91","23D","THEFT FROM BUILDING","10500 TOPAZ CT","LITTLE ROCK","AR",72209,34.654628,-92.35349,"10500 TOPAZ CT
LITTLE ROCK, AR 72209
(34.654628, -92.35349)","2017-06-03","Jun",2017,"Sat",23
"6865","05-23-2017 12:01:00 AM","2017-066279","42","23G","THEFT OF MOTOR VEHICLE PARTS","4301 E ROOSEVELT RD","LITTLE ROCK","AR",72206,34.721581,-92.228086,"4301 E ROOSEVELT RD
LITTLE ROCK, AR 72206
(34.721581, -92.228086)","2017-05-23","May",2017,"Tue",0
"6866","06-03-2017 04:00:00 PM","2017-066288","42","23F","THEFT FROM MOTOR VEHICLE","800 E 3RD ST","LITTLE ROCK","AR",72201,34.745041,-92.262474,"800 E 3RD ST
LITTLE ROCK, AR 72201
(34.745041, -92.262474)","2017-06-03","Jun",2017,"Sat",16
"6867","06-03-2017 08:00:00 PM","2017-066299","70","220","BURGLARY/B&E","11810 PLEASANT RIDGE RD","LITTLE ROCK","AR",72223,34.794108,-92.407456,"11810 PLEASANT RIDGE RD
LITTLE ROCK, AR 72223
(34.794108, -92.407456)","2017-06-03","Jun",2017,"Sat",20
"6868","06-04-2017 12:31:00 AM","2017-066315","63","240","MOTOR VEHICLE THEFT","302 W MARKHAM ST","LITTLE ROCK","AR",72205,34.74844,-92.272832,"302 W MARKHAM ST
LITTLE ROCK, AR 72205
(34.74844, -92.272832)","2017-06-04","Jun",2017,"Sun",0
"6869","06-04-2017 01:57:00 AM","2017-066356","82","13A","AGGRAVATED ASSAULT","43 WARREN DR","LITTLE ROCK","AR",72209,34.661484,-92.353874,"43 WARREN DR
LITTLE ROCK, AR 72209
(34.661484, -92.353874)","2017-06-04","Jun",2017,"Sun",1
"6870","06-04-2017 01:57:00 AM","2017-066356","82","13A","AGGRAVATED ASSAULT","43 WARREN DR","LITTLE ROCK","AR",72209,34.661484,-92.353874,"43 WARREN DR
LITTLE ROCK, AR 72209
(34.661484, -92.353874)","2017-06-04","Jun",2017,"Sun",1
"6871","06-04-2017 01:57:00 AM","2017-066356","82","13A","AGGRAVATED ASSAULT","43 WARREN DR","LITTLE ROCK","AR",72209,34.661484,-92.353874,"43 WARREN DR
LITTLE ROCK, AR 72209
(34.661484, -92.353874)","2017-06-04","Jun",2017,"Sun",1
"6872","06-04-2017 03:42:00 AM","2017-066384","90","220","BURGLARY/B&E","9700 INTERSTATE 30","LITTLE ROCK","AR",72209,34.674739,-92.368427,"9700 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.674739, -92.368427)","2017-06-04","Jun",2017,"Sun",3
"6873","06-04-2017 04:46:00 AM","2017-066397","40","220","BURGLARY/B&E","111 E MARKHAM ST","LITTLE ROCK","AR",72201,34.748019,-92.269781,"111 E MARKHAM ST
LITTLE ROCK, AR 72201
(34.748019, -92.269781)","2017-06-04","Jun",2017,"Sun",4
"6874","06-04-2017 04:52:00 AM","2017-066399","90","23F","THEFT FROM MOTOR VEHICLE","9515 INTERSTATE 30","LITTLE ROCK","AR",72209,34.676251,-92.364884,"9515 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.676251, -92.364884)","2017-06-04","Jun",2017,"Sun",4
"6875","06-04-2017 05:25:00 AM","2017-066410","62","23D","THEFT FROM BUILDING","6800 W 34TH ST","LITTLE ROCK","AR",72210,34.721828,-92.351044,"6800 W 34TH ST
LITTLE ROCK, AR 72210
(34.721828, -92.351044)","2017-06-04","Jun",2017,"Sun",5
"6876","06-04-2017 03:30:00 AM","2017-066412","90","220","BURGLARY/B&E","6012 TIMBERSIDE RD","LITTLE ROCK","AR",72204,34.695897,-92.382189,"6012 TIMBERSIDE RD
LITTLE ROCK, AR 72204
(34.695897, -92.382189)","2017-06-04","Jun",2017,"Sun",3
