"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"1","2015-006602",91,"Aggravated assault",2015-01-18,1,"Sunday",-92.1586294,34.7339853,"9515 HWY","Little Rock"," Arkansas"
"2","2015-100556",91,"Aggravated assault",2015-02-09,2,"Monday",-92.3809705,34.6517229,"9200 MABELVALE / 11000 HEINKE RD","Little Rock"," Arkansas"
"3","2015-017863",71,"Aggravated assault",2015-02-15,2,"Sunday",-92.400317,34.7578497,"512 GREEN MOUNTAIN","Little Rock"," Arkansas"
"4","2015-031280",54,"Aggravated assault",2015-03-24,3,"Tuesday",-92.3347011,34.7229026,"3201 FAIR PARK","Little Rock"," Arkansas"
"5","2015-041417",54,"Aggravated assault",2015-04-17,4,"Friday",-92.3350286,34.741862,"1100 FAIR PARK","Little Rock"," Arkansas"
"6","2015-043451",54,"Aggravated assault",2015-04-22,4,"Wednesday",-92.3339967,34.7212108,"3401 FAIR PARK","Little Rock"," Arkansas"
"7","2015-048256",90,"Aggravated assault",2015-05-04,5,"Monday",-92.4101518,34.6763894,"130 STAGECOACH RD","Little Rock"," Arkansas"
"8","2015-050492",82,"Aggravated assault",2015-05-09,5,"Saturday",-92.349932,34.654989,"6500 MABELVALE CUTOFF CO","Little Rock"," Arkansas"
"9","2015-059003",82,"Aggravated assault",2015-05-29,5,"Friday",-92.3137893,34.6733641,"3300 AVERY RD","Little Rock"," Arkansas"
"10","2015-059408",81,"Aggravated assault",2015-05-30,5,"Saturday",-92.304131,34.688131,"0 W 65TH ST","Little Rock"," Arkansas"
"11","2015-069030",62,"Aggravated assault",2015-06-21,6,"Sunday",-92.3598996,34.7058424,"5207 WESTERN HILLS","Little Rock"," Arkansas"
"12","2015-073038",53,"Aggravated assault",2015-07-01,7,"Wednesday",-92.3071929,34.7336518,"2024 BOOKER ST","Little Rock"," Arkansas"
"13","2015-075560",54,"Aggravated assault",2015-07-06,7,"Monday",-92.3339967,34.7212108,"3401 FAIR PARK","Little Rock"," Arkansas"
"14","2015-077157",82,"Aggravated assault",2015-07-09,7,"Thursday",-92.327343,34.6890023,"4311 E WAKEFIELD DR","Little Rock"," Arkansas"
"15","2015-088173",90,"Aggravated assault",2015-08-03,8,"Monday",-92.4227184,34.6717816,"19 SOUTHERN HILLS","Little Rock"," Arkansas"
"16","2015-088235",90,"Aggravated assault",2015-08-04,8,"Tuesday",-92.4227184,34.6717816,"19 SOUTHERN HILLS","Little Rock"," Arkansas"
"17","2015-093667",81,"Aggravated assault",2015-08-17,8,"Monday",-92.4299277,34.6755922,"7007 BIRDY LN","Little Rock"," Arkansas"
"18","2015-104815",64,"Aggravated assault",2015-09-11,9,"Friday",-92.3637509,34.7126975,"7919 COL GLENN RD","Little Rock"," Arkansas"
"19","2015-114801",42,"Aggravated assault",2015-10-06,10,"Tuesday",-92.1889197,34.7139109,"8921 FOURCHE DAM","Little Rock"," Arkansas"
"20","2015-116850",54,"Aggravated assault",2015-10-11,10,"Sunday",-92.3339967,34.7212108,"3401 FAIR PARK","Little Rock"," Arkansas"
"21","2015-123080",80,"Aggravated assault",2015-10-26,10,"Monday",-92.3356194,34.7050606,"5300 W 49TH ST","Little Rock"," Arkansas"
"22","2015-125165",92,"Aggravated assault",2015-10-31,10,"Saturday",-92.4108401,34.6553045,"11100 OTTER CREEK CV","Little Rock"," Arkansas"
"23","2015-135673",93,"Aggravated assault",2015-11-27,11,"Friday",-92.4080935,34.6610486,"11201 BASS PRO","Little Rock"," Arkansas"
"24","2015-139462",82,"Aggravated assault",2015-12-07,12,"Monday",-92.3236451,34.660814,"9800 ITHICA / 4120 ARAPAHO TRL DR","Little Rock"," Arkansas"
"25","2015-139982",54,"Aggravated assault",2015-12-09,12,"Wednesday",-92.335634,34.724321,"3200 FAIR PARK","Little Rock"," Arkansas"
"26","2015-141870",82,"Aggravated assault",2015-12-14,12,"Monday",-92.3224145,34.6610056,"0 ARAPAHO","Little Rock"," Arkansas"
"27","2015-143841",52,"Aggravated assault",2015-12-18,12,"Friday",-92.2896851,34.7360096,"1510 MARTIN LUTEHR KING DR","Little Rock"," Arkansas"
"28","2015-005577",54,"Aggravated assault ",2015-01-15,1,"Thursday",-92.3350286,34.741862,"1100 FAIR PARK","Little Rock"," Arkansas"
"29","2015-046970",82,"Ars",2015-05-01,5,"Friday",-92.3318887,34.6594911,"9500 SOUTH HEIGHTS","Little Rock"," Arkansas"
"30","2015-029802",54,"Aggravated assault ",2015-03-20,3,"Friday",-92.3336031,34.7436583,"901 FAIR PARK","Little Rock"," Arkansas"
"31","2015-048952",54,"Aggravated assault ",2015-05-05,5,"Tuesday",-92.3350286,34.741862,"1100 FAIR PARK","Little Rock"," Arkansas"
"32","2015-064729",80,"Aggravated assault ",2015-06-11,6,"Thursday",-92.3349323,34.7235024,"3105 FAIR PARK","Little Rock"," Arkansas"
"33","2015-067495",80,"Aggravated assault ",2015-06-18,6,"Thursday",-92.3307939,34.6924991,"4825 TERRA VISTA","Little Rock"," Arkansas"
"34","2015-071995",54,"Aggravated assault ",2015-06-28,6,"Sunday",-92.3339967,34.7212108,"3401 FAIR PARK","Little Rock"," Arkansas"
"35","2015-072958",80,"Aggravated assault ",2015-06-30,6,"Tuesday",-92.2765698,34.7486381,"0 S ARCH ST","Little Rock"," Arkansas"
"36","2015-076395",90,"Aggravated assault ",2015-07-07,7,"Tuesday",-92.3596082,34.6841392,"7420 MABELVALE / 2 BETTY JEAN CIR","Little Rock"," Arkansas"
"37","2015-053200",43,"Ars",2015-05-15,5,"Friday",-96.6551293,32.8091751,"3700 INTERSTATE 30","Little Rock"," Arkansas"
"38","2015-103666",61,"Aggravated assault ",2015-09-09,9,"Wednesday",-92.4021928,34.7554888,"24 MICHAELS ST","Little Rock"," Arkansas"
"39","2015-104422",91,"Aggravated assault ",2015-09-11,9,"Friday",-92.3700828,34.6523222,"10800 LEGION HUT RD","Little Rock"," Arkansas"
"40","2015-105332",70,"Aggravated assault ",2015-09-12,9,"Saturday",-92.4001093,34.7461247,"11301 FINANCIAL CENTRE","Little Rock"," Arkansas"
"41","2015-109607",60,"Aggravated assault ",2015-09-23,9,"Wednesday",-92.360129,34.7902877,"7600 REBSAMENT PARK RD","Little Rock"," Arkansas"
"42","2015-120481",93,"Aggravated assault ",2015-10-19,10,"Monday",-92.4227184,34.6717816,"19 SOUTHERN HILLS","Little Rock"," Arkansas"
"43","2015-143315",91,"Aggravated assault ",2015-12-17,12,"Thursday",-92.3655718,34.6439865,"7704 CLAYBROOK RD","Little Rock"," Arkansas"
"44","2015-146212",54,"Aggravated assault ",2015-12-24,12,"Thursday",-92.3343365,34.7379796,"1511 FAIR PARK","Little Rock"," Arkansas"
"45","2015-121867",81,"Aggravated assault ",2015-10-19,10,"Monday",-92.4274779,34.638702,"6 WHISPERING OAKS DR","Little Rock"," Arkansas"
"46","2015-013187",93,"Aggravated Robbery ",2015-02-03,2,"Tuesday",-92.4265322,34.6586297,"13420 OTTER CREEK","Little Rock"," Arkansas"
"47","2015-062357",54,"Aggravated Robbery ",2015-06-06,6,"Saturday",-92.334198,34.740258,"1223 FAIR PARK","Little Rock"," Arkansas"
"48","2015-131858",93,"Aggravated Robbery ",2015-11-17,11,"Tuesday",-92.4080935,34.6610486,"11201 BASS PRO","Little Rock"," Arkansas"
"49","2015-007343",54,"Aggravated Robbery ",2015-01-20,1,"Tuesday",-92.3339967,34.7212108,"3401 FAIR PARK","Little Rock"," Arkansas"
"50","2015-009179",54,"Aggravated Robbery ",2015-01-24,1,"Saturday",-92.3339884,34.7218157,"3323 FAIR PARK","Little Rock"," Arkansas"
"51","2015-012874",62,"Aggravated Robbery ",2015-02-03,2,"Tuesday",-92.3432867,34.7168478,"6201 COLONEL RD","Little Rock"," Arkansas"
